"title","description"
"ソラリス","Sol-3、それは太陽系の第三惑星。最初の「悲鳴」から——
かつて見たことのない事象が跋扈し、旧時代の法則はことごとく力を失っていく。
破滅と新生が隣り合わせているこの新世界で、人類は文明の灯火を掲げ、未知の危機の到来に備えている。"
"海蝕現象","悲鳴によって、破滅をもたらす潮がソラを侵蝕した。
「無音区」、「残像潮」、「黒石」……これらの現象を「海蝕現象」と呼ぶ。"
"悲鳴","「悲鳴」はソラリスで起こるすべての異変の総称である。
最初の悲鳴から、悲鳴という事象は人類の集団記憶に深く刻んだ。そして「悲鳴」は終わることはない。
潮が鳴り続ける限り。"
"残像","海蝕現象による無秩序な周波数エナジーで構成した疑似生命、外見は不定で、特殊な構造「音核」をもつ。学界では「残響体」と呼ばれることもある。
能力、外見、行為パターンは周波数の構成によって異なる。何かの擬態として存在することが多い。"
"音骸","デバイスに捕獲、利用、「残像」として再現可能な特殊な周波数。
「残像」が撃破されると、相応の「残響」は一定の確率で残される。
その「残響」はデバイスで「音骸」に変換可能で、戦闘に役立つ力となる。"
"歳主","文明を宿す地域を象徴する上位なる存在、「歳主」。「歳主」は何度も人類が危機を克服したことを導いた、知識を授けた、予言を諭したと記載されている。
悲鳴で文明を再生しようとしている人類によって、歳主は文明と同じ長い歳月を渡ってきた記録者であり、災いを克服するための灯台でもある。"
"海蝕現象","悲鳴によって、破滅をもたらす潮がソラを侵蝕した。
「無音区」、「残像潮」、「黒石」……これらの現象を「海蝕現象」と呼ぶ。"
"無音区","「無音区」とは残像が発生した地域であり、空を遮る逆さまの海と地面に深く刻まれた十字の音痕とともに発生する。
幾千幾万の残響が無音区の内部に反射し、織り交ぜ、重なり合う。白い音弦が現実の彼方にある未知の空間に繋がり、それによって無数の残像が無音区に集うことになった。"
"共鳴者","特定の事象と共鳴ができ、かつその周波数を操れる人類は「共鳴者」と呼ぶ。
共鳴者は体の表面に顕現する「音痕」から「共鳴能力」を放出できる。学界では、「共鳴能力」の種類とその表現は、大凡その共鳴者の経歴と無意識に関係している。"
"残像","海蝕現象による無秩序な周波数エナジーで構成した疑似生命、外見は不定で、特殊な構造「音核」をもつ。学界では「残響体」と呼ばれることもある。
能力、外見、行為パターンは周波数の構成によって異なる。何かの擬態として存在することが多い。"
