"name","description"
"仙境の湖光","見つめよう——鋭い刃先には、風の冷気が感じられる。生き物のような水面の乱反射。この武器を手に取る者は、その内なるエナジーに抱擁される。"
"千古の湖水","耳を傾けよう——凍りついた刃から、氷河が蠢く音がする。それは、やがて使い手の思想と合流する氷河。この刀は自分の意思で敵を飲み込んでいく。"
"不変の湖煙","手に取ってみよう——その銃身は、万里の湖を跨ぐ煙を秘めている。撃鉄を起こす指から伝わる極寒。ならば、すべての煙を敵に吐き出そう。戦場の隅々まで。"
"怒涛の湖音","肌身で感じよう——手甲の内には、今にも暴れだしそうな滾る深淵。名状し難い、抑えきれぬ深淵。さあ、装着し、咆哮せよ。そして狂気を以て敵を潰すのだ。"
"栄枯の湖岸","触れよう——酷寒のマトリックスに触れれば、天と地の狭間にある、真理を導く湖に繋がりそうだ。行く手を阻む敵を一切合切殲滅せよ。そう、それは真理に辿り着くための道。"
"霊感ディスコード","楽譜にインスパイアされ作成した長刃。音階は、降順。異響の力を以て、戦局を制する終わらぬ名作となる。"
"行進オーバーチュア","楽譜にインスパイアされ作成した迅刀。音階は、昇順。抑揚の響を以て華麗なる序曲を奏でる。"
"華麗カテンツァ","楽譜にインスパイアされ作成した拳銃。音階は、昇順。空を切り裂き雷霆を貫き、絶妙な楽章を紡ぐ。"
"狂乱マルカート","楽譜にインスパイアされ作成した手甲。音階は、降順。津波の音を以て怒りを奔出させ、高鳴る交響を作る。"
"奇妙バリエーション","楽譜にインスパイアされ作成した増幅器。音階は、降順。智慧の眼光を以て策を見出し、協奏は急転直下する。"
"暗夜の長刃・玄明","夜帰の制式長刃。長い間改良を重ねられ、今では主力武器となった。「夜を抜け、帰還する」という守りの誓いは、戦士の決心でもあった。"
"暗夜の迅刀・黒閃","夜帰の制式迅刀。長い間改良を重ねられ、今では主力武器となった。「夜を抜け、帰還する」という守りの誓いは、戦士の決心でもあった。"
"暗夜の拳銃・闇星","夜帰の制式拳銃。長い間改良を重ねられ、今では主力武器となった。「夜を抜け、帰還する」という守りの誓いは、戦士の決心でもあった。"
"暗夜の手甲・夜灯","夜を抜け、帰還する。手甲に刻まれた守りの誓いは、無私な献身でもあった。"
"暗夜の増幅器・冥光","夜を抜け、帰還する。増幅器に刻まれた守りの誓いは、長明の信念でもあった。"
